SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.1857728659720291
HB_BUSAVG,2017,0.1540921316526925
HB_BUSAVG,2018,0.20025431760641674
HB_BUSAVG,2019,0.2493778344995213
HB_HOUSTON,2016,0.19109873836659222
HB_HOUSTON,2017,0.17047734751575552
HB_HOUSTON,2018,0.20024358737813383
HB_HOUSTON,2019,0.24794607380680087
HB_HUBAVG,2016,0.1879565397121566
HB_HUBAVG,2017,0.1586868365905479
HB_HUBAVG,2018,0.20212103280709776
HB_HUBAVG,2019,0.2506480102790352
HB_NORTH,2016,0.1841805116762344
HB_NORTH,2017,0.15257522475143365
HB_NORTH,2018,0.20015889840339202
HB_NORTH,2019,0.2496184779733532
HB_PAN,2019,0.5929799164463335
HB_SOUTH,2016,0.2093581364005921
HB_SOUTH,2017,0.15614468087549513
HB_SOUTH,2018,0.19868392231681212
HB_SOUTH,2019,0.24898029043091174
HB_WEST,2016,0.20708375806653181
HB_WEST,2017,0.24945718699513475
HB_WEST,2018,0.2922569151680295
HB_WEST,2019,0.3298353523750247
